效果总结,词条,效果,策略
位面强化,第一位面强化,第一位面敌人速度+20%，血量+20%,基本保送
位面强化,第二位面强化,第二位面敌人速度+40%，血量+25%,遭遇值选高难
位面强化,第三位面强化,第三位面敌人速度+60%，血量+30%,做好第三面连败的准备
位面强化,随从强化,普通和精英敌人速度+30%，血量+20%,搭配第三位面强化很容易秒人
位面强化,首领强化,首领敌人速度+60%，血量+30%,前期不胡直接重开
行动值削减,决战在即,首领关行动值-30，遭遇关行动值+30,直接重开
行动值削减,战个痛快,战斗行动值-30，首领倒计时+20,直接重开
敌方强化,一鼓作气,敌人首次行动后行动提前100%,双生存避免后期减员
敌方强化,净化身心,怪物血量低于50%回10%每多一个负面多回2%,不要玩负面或dot队
敌方强化,同步行动,我方行动提前使敌方随机精英行动提前25%,尽量重开
敌方强化,正当防卫,敌人受到攻击会对前台造成120%攻击的伤害,低频高伤&amp;避免高频对群，风堇忆灵很容易掉
敌方强化,应激反应,敌人血量低于50%行动提前100%,选择dot队
敌方强化,沉重脚步,我方被攻击后行动延后6%,围绕一号位砂金搭配队伍（电池+护甲合成光盾能够免疫推条效果）
敌方强化,复仇心切,"非首领敌人被消灭其他敌人
伤害+8%",双生存避免后期减员
敌方强化,忍无可忍,敌人受到7次攻击后行动提前100%,用dot队或双生存
敌方强化,免死金牌,敌人血量低于1%回复10%血量,尽量重开
我方削弱,软弱无力,装备少于3的角色伤害-20%,选择单C阵容，前期上满装备
我方削弱,霸凌弱者,对1星角色造成伤害提高20%,保送
我方削弱,额外打击,每少一个装备额外受到8%真实伤害,后期双生存
我方削弱,前台熄火,前台进入战斗第一次攻击固定伤害为1,基本保送（主C基本秘技打完就无事发生了）
我方削弱,后台熄火,后台进入战斗第一次攻击固定伤害为1,基本保送（但6魂阮梅直接废掉）
我方削弱,重症难题,前台受到攻击下一次治疗护盾降低50%,高难尽量重开，生存压力很大
我方削弱,丢失幸运,减少25%幸运—击概率,白厄队量子队重开，其他队放弃幸运—击装备
我方削弱,榜样激励,伤害第一的角色造成75%伤害，其他角色造成110%伤害,除仙将队友外直接重开
我方削弱,冷冻冬眠,受到致命攻击没有无法战斗会冻结2回合（能冻开大白厄）,上双生存，白厄队建议重开
我方削弱,永久创伤,生命降低会同步减少20%降低值的生命上限最多降60%,围绕砂金构建队伍（追击、狼持）
我方削弱,灼热轰炸,前台1号位受到攻击概率大幅提高，并且陷入可叠加灼烧,围绕一号位砂金搭配队伍
我方削弱,极速制冷,每用一个战技点有15%概率冻结,避免战技点队伍，生存位上盾丹解控
我方削弱,能量逃逸,敌人收到攻击后减少攻击者4能量,0魂阿格莱雅慎玩
